Time elapsed was 439161ns or 0.000439161s,,0.000439161
Time elapsed was 700370ns or 0.000700370s,,0.00070037
Time elapsed was 635562ns or 0.000635562s,,0.000635562
Time elapsed was 2294387ns or 0.002294387s,,0.002294387
Time elapsed was 384012ns or 0.000384012s,,0.000384012
Time elapsed was 447339ns or 0.000447339s,,0.000447339
Time elapsed was 398389ns or 0.000398389s,,0.000398389
Time elapsed was 494987ns or 0.000494987s,,0.000494987
Time elapsed was 229879ns or 0.000229879s,,0.000229879
,,
Mean,,0.000669342888889
